Red Bull GmbH,Red Bull GmbH
"Pinterest, Inc.",#N/A
"Uber Technologies, Inc.",#N/A
"BCBG Max Azria Group, Inc.",#N/A
"Gilt Groupe, Inc.","Gilt Groupe, Inc."
Patagonia Inc.,Patagonia Inc.
Trader Joe's Company,Trader Joe's Company
Mars Inc.,Mars Inc.
"Chobani, Inc.","Chobani, Inc."
"Chanel, S.A.","Chanel, S.A."
NASCAR,#N/A
"J. Crew Group, Inc.","J. Crew Group, Inc."
"Dropbox, Inc.","Dropbox, Inc."
"Charming Charlie, Inc.","Charming Charlie, Inc."
L.A. Fitness International LLC,L.A. Fitness International LLC
"JAND, Inc.","JAND, Inc."
"Hostess Brands, Inc.",#N/A
"Doctor's Associates, Inc.","Doctor's Associates, Inc."
"Fitbit, Inc.",#N/A
"Monster Cable Products, Inc.","Monster Cable Products, Inc."
"WhatsApp, Inc.",#N/A
"Koch Industries, Inc.","Koch Industries, Inc."
"Nest Labs, Inc.",#N/A
Bose Corporation,Bose Corporation
Dell Inc.,Dell Inc.
"Five Guys Holdings, LLC",#N/A
Spotify Ltd.,Spotify Ltd.
"Foursquare Labs, Inc.","Foursquare Labs, Inc."
"eHarmony.com, Inc.","eHarmony.com, Inc."
"Birchbox, Inc.","Birchbox, Inc."
OtterBox,#N/A
"GrubHub Holdings, Inc.",#N/A
Jawbone,Jawbone
Deloitte Touche Tohmatsu Limited,#N/A
"TOMS Shoes, Inc.","TOMS Shoes, Inc."
Bloomberg L.P.,Bloomberg L.P.
"McKinsey & Company, Inc.","McKinsey & Company, Inc."
"Tumblr, Inc.","Tumblr, Inc."
"Forever 21, Inc.","Forever 21, Inc."
"Guitar Center, Inc.","Guitar Center, Inc."
Vemma Nutrition Co.,Vemma Nutrition Co.
"Palantir Technologies, Inc.","Palantir Technologies, Inc."
"Toys ""R"" Us",#N/A
"Sonos, Inc.","Sonos, Inc."
"Coursera, Inc.",#N/A
"Box, Inc.","Box, Inc."
KPMG LLP,KPMG LLP
"Living Essentials, LLC",#N/A
Bass Pro Shops Group,#N/A
"New Era Cap Company, Inc",#N/A
"Snapchat, Inc.",#N/A
Space Exploration Technologies Corp.,Space Exploration Technologies Corp.
"TSA Stores, Inc.",#N/A
Beats Electronics LLC,Beats Electronics LLC
SeamlessWeb,#N/A
"Fresh Direct Holdings, LLC","Fresh Direct Holdings, LLC"
"Craigslist, Inc.","Craigslist, Inc."
"Mary Kay, Inc.","Mary Kay, Inc."
"Airbnb, Inc.","Airbnb, Inc."
Barneys New York,#N/A
SoundCloud Ltd.,#N/A
"Bain & Company, Inc.","Bain & Company, Inc."
"ZocDoc, Inc.",#N/A
Belkin International Inc.,Belkin International Inc.
"Petco Animal Supplies, Inc.","Petco Animal Supplies, Inc."
Gibson Guitar Corp.,Gibson Guitar Corp.
"Bonobos, Inc.",#N/A
"Pinkberry Ventures, Inc.",#N/A
"Cirque du Soleil, Inc.","Cirque du Soleil, Inc."
"MakerBot Industries, LLC",#N/A
"Hallmark Cards, Inc.","Hallmark Cards, Inc."
Aldi Einkauf GmbH & Co.,#N/A
IKEA,IKEA
LL Bean,#N/A
"International Coffee & Tea, LLC","International Coffee & Tea, LLC"
"S.C. Johnson & Son, Inc.","S.C. Johnson & Son, Inc."
GoPro,#N/A
Nasty Gal Inc.,Nasty Gal Inc.
The Boston Consulting Group,The Boston Consulting Group
Hearst Corporation,Hearst Corporation
"Kickstarter, Inc.",#N/A
"Cox Enterprises, Inc.","Cox Enterprises, Inc."
"Alticor, Inc.","Alticor, Inc."
"Eventbrite, Inc.","Eventbrite, Inc."
New Belgium Brewing Co.,#N/A
"TrueCar, Inc.","TrueCar, Inc."
"Rent the Runway, Inc.","Rent the Runway, Inc."
Cargill Incorporated,Cargill Incorporated
"Cloudera, Inc.","Cloudera, Inc."
"Etsy, Inc.",#N/A
"AirWatch, LLC","AirWatch, LLC"
Rovio Entertainment Ltd.,#N/A
"Roku, Inc.","Roku, Inc."
"Speculative Product Design, LLC","Speculative Product Design, LLC"
Publix Super Markets Inc.,Publix Super Markets Inc.
"Anytime Fitness, Inc.",#N/A
"Hobby Lobby Stores, Inc.","Hobby Lobby Stores, Inc."
"Alex and Ani, LLC","Alex and Ani, LLC"
Supercell Oy,#N/A
One Kings Lane,One Kings Lane
Hulu LLC,Hulu LLC
Ernst & Young Global Limited,#N/A
Fidelity Investments,Fidelity Investments
3D Robotics Inc.,3D Robotics Inc.
Christian Louboutin S.A.,Christian Louboutin S.A.
"Gold's Gym International, Inc.","Gold's Gym International, Inc."
"BuzzFeed, Inc.",#N/A
Quicken Loans,#N/A
Jimmy John's Gourmet Sandwich Shops,#N/A
Shopify Inc.,#N/A
"Shapeways, Inc.",#N/A
Academy Sports + Outdoors,#N/A
TriZetto Corporation,#N/A
Spanx Inc.,#N/A
Lucasfilm Ltd.,#N/A
"Vineyard Vines, L.L.C.",#N/A
"Bausch & Lomb, Inc.","Bausch & Lomb, Inc."
Sunshine Fitness Management,#N/A
PricewaterhouseCoopers International Ltd.,#N/A
SCVNGR,#N/A
Venmo Inc.,#N/A
"Bodybuilding.com, LLC","Bodybuilding.com, LLC"
Asurion LLC,Asurion LLC
"New Balance Athletic Shoe, Inc.","New Balance Athletic Shoe, Inc."
"BodyMedia, Inc.","BodyMedia, Inc."
Evernote Corp.,Evernote Corp.
Roll Global,Roll Global
McKee Foods Corporation,McKee Foods Corporation
Moe's Southwest Grill,Moe's Southwest Grill
"23andMe, Inc.","23andMe, Inc."
Edible Arrangements International LLC,Edible Arrangements International LLC
Boku Inc.,Boku Inc.
"Lynda.com, Inc.","Lynda.com, Inc."
AutoTrader Group,#N/A
"Rag & Bone Holdings, LLC",#N/A
oDesk Corporation,oDesk Corporation
Shazam Entertainment Ltd,#N/A
"Wawa, Inc.",#N/A
"mophie, LLC",#N/A
"TaskRabbit, Inc.","TaskRabbit, Inc."
"ModCloth, Inc",#N/A
"Ebsco Industries, Inc.","Ebsco Industries, Inc."
"Buddy Media, Inc.",#N/A
"Rue La La, Inc.","Rue La La, Inc."
Sierra Nevada Brewing Co.,#N/A
Eddie Bauer LLC,Eddie Bauer LLC
"Whataburger Restaurants, LP","Whataburger Restaurants, LP"
Bacardi Limited,Bacardi Limited
"Practice Fusion, Inc.","Practice Fusion, Inc."
Amway,Amway
"Lookout, Inc.","Lookout, Inc."
Guthy-Renker LLC,Guthy-Renker LLC
"DocuSign, Inc.","DocuSign, Inc."
"Braintree Payment Solutions, LLC","Braintree Payment Solutions, LLC"
"Flipboard, Inc.","Flipboard, Inc."
"Care.com, Inc.","Care.com, Inc."
Pebble Technology Corp.,Pebble Technology Corp.
Giorgio Armani S.p.A.,#N/A
Blackboard Inc.,Blackboard Inc.
VitaCoco,#N/A
Eileen Fisher Inc.,Eileen Fisher Inc.
Kohler Co.,Kohler Co.
"FanDuel, Inc.",#N/A
"Elance, Inc.","Elance, Inc."
Cengage Learning Inc.,Cengage Learning Inc.
Canada Goose Inc.,#N/A
The ServiceMaster Company,The ServiceMaster Company
Apigee Corp.,Apigee Corp.
"Icon Health & Fitness, Inc.","Icon Health & Fitness, Inc."
"Houzz, Inc.",#N/A
"Square, Inc.","Square, Inc."
Razer Inc.,Razer Inc.
"Blue Jeans Network, Inc.",#N/A
"Carlson Companies, Inc.",#N/A
"Prosper Marketplace, Inc.","Prosper Marketplace, Inc."
"1Life Healthcare, Inc.","1Life Healthcare, Inc."
Stella & Dot LLC,#N/A
"Zimride, Inc.",#N/A
"Arbonne International, LLC","Arbonne International, LLC"
"Equinox Holdings, Inc.",#N/A
AppNexus Inc.,AppNexus Inc.
"Glam Media, Inc.","Glam Media, Inc."
Red Bull Company Limited,#N/A
PlentyofFish Media Inc.,#N/A
"Appirio, Inc.",#N/A
Xe Services LLC,Xe Services LLC
"ShoeDazzle.com, Inc.",#N/A
"Popchips, Inc",#N/A
"Dropcam, Inc.",#N/A
Blue Diamond Growers,Blue Diamond Growers
"Boar's Head Provisions Co., Inc.","Boar's Head Provisions Co., Inc."
CH2M Hill Ltd.,CH2M Hill Ltd.
ideeli Inc.,ideeli Inc.
"ACN, Inc.","ACN, Inc."
Goya Foods Inc.,Goya Foods Inc.
Carhartt Inc.,#N/A
"Laureate Education, Inc.","Laureate Education, Inc."
Lush Limited,Lush Limited
Path Inc.,Path Inc.
